game_id,language,n_rounds_is_known,max_rounds,played_rounds,agents_communicate,elicit_beliefs,tom_order,agent1_name,agent1_llm,agent1_personality,agent1_knows_opponent_with_prob,agent1_strategies,agent1_scores,agent1_messages,agent1_regret_per_round,agent1_regret_mean,agent2_name,agent2_llm,agent2_personality,agent2_knows_opponent_with_prob,agent2_strategies,agent2_scores,agent2_messages,agent2_regret_per_round,agent2_regret_mean,welfare_mean_sum,welfare_mean_min,welfare_mean_gini,welfare_efficiency,welfare_per_round
game_0,en,True,10,6,False,False,1,agent1,Claude Haiku 4.5,cooperative,0.0,"['OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionB', 'OptionB']","[6.0, 6.0, 6.0, 6.0, 10.0, 2.0]",[],"[4.0, 4.0, 4.0, 4.0, 0.0, 0.0]",2.6666666666666665,agent2,Claude Haiku 4.5,cooperative,0.0,"['OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionB']","[6.0, 6.0, 6.0, 6.0, 0.0, 2.0]",[],"[4.0, 4.0, 4.0, 4.0, 2.0, 0.0]",3.0,10.333333333333334,4.333333333333333,0.08333333333333333,,"[{'sum': 12.0, 'mean': 6.0, 'min': 6.0, 'max': 6.0, 'gini': 0.0}, {'sum': 12.0, 'mean': 6.0, 'min': 6.0, 'max': 6.0, 'gini': 0.0}, {'sum': 12.0, 'mean': 6.0, 'min': 6.0, 'max': 6.0, 'gini': 0.0}, {'sum': 12.0, 'mean': 6.0, 'min': 6.0, 'max': 6.0, 'gini': 0.0}, {'sum': 10.0, 'mean': 5.0, 'min': 0.0, 'max': 10.0, 'gini': 0.5}, {'sum': 4.0, 'mean': 2.0, 'min': 2.0, 'max': 2.0, 'gini': 0.0}]"
game_1,en,True,10,4,False,False,1,agent1,Claude Haiku 4.5,cooperative,0.0,"['OptionB', 'OptionA', 'OptionA', 'OptionB']","[10.0, 0.0, 6.0, 2.0]",[],"[0.0, 2.0, 4.0, 0.0]",1.5,agent2,Claude Haiku 4.5,cooperative,0.5,"['OptionA', 'OptionB', 'OptionA', 'OptionB']","[0.0, 10.0, 6.0, 2.0]",[],"[2.0, 0.0, 4.0, 0.0]",1.5,9.0,2.0,0.25,,"[{'sum': 10.0, 'mean': 5.0, 'min': 0.0, 'max': 10.0, 'gini': 0.5}, {'sum': 10.0, 'mean': 5.0, 'min': 0.0, 'max': 10.0, 'gini': 0.5}, {'sum': 12.0, 'mean': 6.0, 'min': 6.0, 'max': 6.0, 'gini': 0.0}, {'sum': 4.0, 'mean': 2.0, 'min': 2.0, 'max': 2.0, 'gini': 0.0}]"
game_2,en,True,10,6,False,False,1,agent1,Claude Haiku 4.5,cooperative,0.0,"['OptionA', 'OptionB', 'OptionA', 'OptionB', 'OptionA', 'OptionB']","[6.0, 10.0, 0.0, 10.0, 0.0, 2.0]",[],"[4.0, 0.0, 2.0, 0.0, 2.0, 0.0]",1.3333333333333333,agent2,Claude Haiku 4.5,cooperative,1.0,"['OptionA', 'OptionA', 'OptionB', 'OptionA', 'OptionB', 'OptionB']","[6.0, 0.0, 10.0, 0.0, 10.0, 2.0]",[],"[4.0, 2.0, 0.0, 2.0, 0.0, 0.0]",1.3333333333333333,9.333333333333334,1.3333333333333333,0.3333333333333333,,"[{'sum': 12.0, 'mean': 6.0, 'min': 6.0, 'max': 6.0, 'gini': 0.0}, {'sum': 10.0, 'mean': 5.0, 'min': 0.0, 'max': 10.0, 'gini': 0.5}, {'sum': 10.0, 'mean': 5.0, 'min': 0.0, 'max': 10.0, 'gini': 0.5}, {'sum': 10.0, 'mean': 5.0, 'min': 0.0, 'max': 10.0, 'gini': 0.5}, {'sum': 10.0, 'mean': 5.0, 'min': 0.0, 'max': 10.0, 'gini': 0.5}, {'sum': 4.0, 'mean': 2.0, 'min': 2.0, 'max': 2.0, 'gini': 0.0}]"
game_3,en,True,10,8,False,False,1,agent1,Claude Haiku 4.5,cooperative,0.0,"['OptionA', 'OptionA', 'OptionB', 'OptionA', 'OptionA', 'OptionB', 'OptionA', 'OptionB']","[6.0, 0.0, 10.0, 6.0, 0.0, 10.0, 0.0, 2.0]",[],"[4.0, 2.0, 0.0, 4.0, 2.0, 0.0, 2.0, 0.0]",1.75,agent2,Claude Haiku 4.5,selfish,0.0,"['OptionA', 'OptionB', 'OptionA', 'OptionA', 'OptionB', 'OptionA', 'OptionB', 'OptionB']","[6.0, 10.0, 0.0, 6.0, 10.0, 0.0, 10.0, 2.0]",[],"[4.0, 0.0, 2.0, 4.0, 0.0, 2.0, 0.0, 0.0]",1.5,9.75,1.75,0.3125,,"[{'sum': 12.0, 'mean': 6.0, 'min': 6.0, 'max': 6.0, 'gini': 0.0}, {'sum': 10.0, 'mean': 5.0, 'min': 0.0, 'max': 10.0, 'gini': 0.5}, {'sum': 10.0, 'mean': 5.0, 'min': 0.0, 'max': 10.0, 'gini': 0.5}, {'sum': 12.0, 'mean': 6.0, 'min': 6.0, 'max': 6.0, 'gini': 0.0}, {'sum': 10.0, 'mean': 5.0, 'min': 0.0, 'max': 10.0, 'gini': 0.5}, {'sum': 10.0, 'mean': 5.0, 'min': 0.0, 'max': 10.0, 'gini': 0.5}, {'sum': 10.0, 'mean': 5.0, 'min': 0.0, 'max': 10.0, 'gini': 0.5}, {'sum': 4.0, 'mean': 2.0, 'min': 2.0, 'max': 2.0, 'gini': 0.0}]"
game_4,en,True,10,6,False,False,1,agent1,Claude Haiku 4.5,cooperative,0.0,"['OptionA', 'OptionA', 'OptionA', 'OptionB', 'OptionA', 'OptionB']","[6.0, 6.0, 0.0, 10.0, 0.0, 2.0]",[],"[4.0, 4.0, 2.0, 0.0, 2.0, 0.0]",2.0,agent2,Claude Haiku 4.5,selfish,0.5,"['OptionA', 'OptionA', 'OptionB', 'OptionA', 'OptionB', 'OptionB']","[6.0, 6.0, 10.0, 0.0, 10.0, 2.0]",[],"[4.0, 4.0, 0.0, 2.0, 0.0, 0.0]",1.6666666666666667,9.666666666666666,2.3333333333333335,0.25,,"[{'sum': 12.0, 'mean': 6.0, 'min': 6.0, 'max': 6.0, 'gini': 0.0}, {'sum': 12.0, 'mean': 6.0, 'min': 6.0, 'max': 6.0, 'gini': 0.0}, {'sum': 10.0, 'mean': 5.0, 'min': 0.0, 'max': 10.0, 'gini': 0.5}, {'sum': 10.0, 'mean': 5.0, 'min': 0.0, 'max': 10.0, 'gini': 0.5}, {'sum': 10.0, 'mean': 5.0, 'min': 0.0, 'max': 10.0, 'gini': 0.5}, {'sum': 4.0, 'mean': 2.0, 'min': 2.0, 'max': 2.0, 'gini': 0.0}]"
game_5,en,True,10,6,False,False,1,agent1,Claude Haiku 4.5,cooperative,0.0,"['OptionA', 'OptionA', 'OptionA', 'OptionB', 'OptionA', 'OptionB']","[0.0, 6.0, 0.0, 10.0, 6.0, 2.0]",[],"[2.0, 4.0, 2.0, 0.0, 4.0, 0.0]",2.0,agent2,Claude Haiku 4.5,selfish,1.0,"['OptionB', 'OptionA', 'OptionB', 'OptionA', 'OptionA', 'OptionB']","[10.0, 6.0, 10.0, 0.0, 6.0, 2.0]",[],"[0.0, 4.0, 0.0, 2.0, 4.0, 0.0]",1.6666666666666667,9.666666666666666,2.3333333333333335,0.25,,"[{'sum': 10.0, 'mean': 5.0, 'min': 0.0, 'max': 10.0, 'gini': 0.5}, {'sum': 12.0, 'mean': 6.0, 'min': 6.0, 'max': 6.0, 'gini': 0.0}, {'sum': 10.0, 'mean': 5.0, 'min': 0.0, 'max': 10.0, 'gini': 0.5}, {'sum': 10.0, 'mean': 5.0, 'min': 0.0, 'max': 10.0, 'gini': 0.5}, {'sum': 12.0, 'mean': 6.0, 'min': 6.0, 'max': 6.0, 'gini': 0.0}, {'sum': 4.0, 'mean': 2.0, 'min': 2.0, 'max': 2.0, 'gini': 0.0}]"
game_6,en,True,10,6,False,False,1,agent1,Claude Haiku 4.5,cooperative,0.0,"['OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionB', 'OptionB']","[6.0, 6.0, 6.0, 6.0, 10.0, 2.0]",[],"[4.0, 4.0, 4.0, 4.0, 0.0, 0.0]",2.6666666666666665,agent2,Claude Haiku 4.5,neutral,0.0,"['OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionB']","[6.0, 6.0, 6.0, 6.0, 0.0, 2.0]",[],"[4.0, 4.0, 4.0, 4.0, 2.0, 0.0]",3.0,10.333333333333334,4.333333333333333,0.08333333333333333,,"[{'sum': 12.0, 'mean': 6.0, 'min': 6.0, 'max': 6.0, 'gini': 0.0}, {'sum': 12.0, 'mean': 6.0, 'min': 6.0, 'max': 6.0, 'gini': 0.0}, {'sum': 12.0, 'mean': 6.0, 'min': 6.0, 'max': 6.0, 'gini': 0.0}, {'sum': 12.0, 'mean': 6.0, 'min': 6.0, 'max': 6.0, 'gini': 0.0}, {'sum': 10.0, 'mean': 5.0, 'min': 0.0, 'max': 10.0, 'gini': 0.5}, {'sum': 4.0, 'mean': 2.0, 'min': 2.0, 'max': 2.0, 'gini': 0.0}]"
game_7,en,True,10,7,False,False,1,agent1,Claude Haiku 4.5,cooperative,0.0,"['OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionB', 'OptionA', 'OptionB']","[6.0, 6.0, 6.0, 6.0, 10.0, 0.0, 2.0]",[],"[4.0, 4.0, 4.0, 4.0, 0.0, 2.0, 0.0]",2.5714285714285716,agent2,Claude Haiku 4.5,neutral,0.5,"['OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionB', 'OptionB']","[6.0, 6.0, 6.0, 6.0, 0.0, 10.0, 2.0]",[],"[4.0, 4.0, 4.0, 4.0, 2.0, 0.0, 0.0]",2.5714285714285716,10.285714285714286,3.7142857142857144,0.14285714285714285,,"[{'sum': 12.0, 'mean': 6.0, 'min': 6.0, 'max': 6.0, 'gini': 0.0}, {'sum': 12.0, 'mean': 6.0, 'min': 6.0, 'max': 6.0, 'gini': 0.0}, {'sum': 12.0, 'mean': 6.0, 'min': 6.0, 'max': 6.0, 'gini': 0.0}, {'sum': 12.0, 'mean': 6.0, 'min': 6.0, 'max': 6.0, 'gini': 0.0}, {'sum': 10.0, 'mean': 5.0, 'min': 0.0, 'max': 10.0, 'gini': 0.5}, {'sum': 10.0, 'mean': 5.0, 'min': 0.0, 'max': 10.0, 'gini': 0.5}, {'sum': 4.0, 'mean': 2.0, 'min': 2.0, 'max': 2.0, 'gini': 0.0}]"
game_8,en,True,10,6,False,False,1,agent1,Claude Haiku 4.5,cooperative,0.0,"['OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionB', 'OptionB']","[6.0, 6.0, 6.0, 6.0, 10.0, 2.0]",[],"[4.0, 4.0, 4.0, 4.0, 0.0, 0.0]",2.6666666666666665,agent2,Claude Haiku 4.5,neutral,1.0,"['OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionB']","[6.0, 6.0, 6.0, 6.0, 0.0, 2.0]",[],"[4.0, 4.0, 4.0, 4.0, 2.0, 0.0]",3.0,10.333333333333334,4.333333333333333,0.08333333333333333,,"[{'sum': 12.0, 'mean': 6.0, 'min': 6.0, 'max': 6.0, 'gini': 0.0}, {'sum': 12.0, 'mean': 6.0, 'min': 6.0, 'max': 6.0, 'gini': 0.0}, {'sum': 12.0, 'mean': 6.0, 'min': 6.0, 'max': 6.0, 'gini': 0.0}, {'sum': 12.0, 'mean': 6.0, 'min': 6.0, 'max': 6.0, 'gini': 0.0}, {'sum': 10.0, 'mean': 5.0, 'min': 0.0, 'max': 10.0, 'gini': 0.5}, {'sum': 4.0, 'mean': 2.0, 'min': 2.0, 'max': 2.0, 'gini': 0.0}]"
game_9,en,True,10,1,False,False,1,agent1,Claude Haiku 4.5,cooperative,0.5,['OptionB'],[2.0],[],[0.0],0.0,agent2,Claude Haiku 4.5,cooperative,0.5,['OptionB'],[2.0],[],[0.0],0.0,4.0,2.0,0.0,,"[{'sum': 4.0, 'mean': 2.0, 'min': 2.0, 'max': 2.0, 'gini': 0.0}]"
